Q1,Q2,Q3,Q4,Q5,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q48,Q49,Q51,Q52,Q53,Q67,Q89
5,2,2,2,  C,2,1,1,1,2,1,1,1,1,2,4, ,1, ,3,5,1,1,1,1,1,1,2
4,1,2,2,  C,2,1,1,1,2,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1, , 
5,1,2,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,4,2
4,1,2,2,  C,1,2,1,1,2,1,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1
5,2,2,2,  C,2,1,1,1,1,1,1,1,1,3,2,3,1,2,6,3,1,1,1,1,1,1,2
4,1,2,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
5,2,2, ,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,3
4,2,2,2,  C,1,5,1,1,1, , ,1,6,3,5, , ,8,7,5,6,1,1,1,1,1, 
5,2,2,2,  C,1, ,1,1,2,1,1,1,1,3,5, ,1, ,5,4,1,1,1,1,1,1, 
5,2,2,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
4,1,2,2,  C,2,1,1,1,2,1,1,1,1,2,5, ,1, ,1,1,1,1,1,1,1,1,2
5,2,2,2,  C,1,6,1,1,1,1,1,1,1,6,2,3,1,2,7,5,6,1,1,1,1,1,5
4,1,2,2,A C E,2,1,1,1,2,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1
5,1,2,2,  C,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,2,2,  C,2,1,1,1,2,1,1,1,1,2,6,2, , ,5,6,5,1,1,1,1,1, 
5,1,2,2,    E,1,4, , ,2,1,1,1,1,5,3,4,5,8,6,5,5,1,1,1,1,1,3
4,1,2,2,  C,1,4,1,1,1,1,1,1,1,3,5,2, , ,1,1,1,1,1,1,1,1,2
4,1,2,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
5,2,2,2,  C, , , , ,1, , , , , ,5, ,6,6,6,3,3,1,1,1,2,3,3
6,1,3,2,  C,2,1,1,1,2,1,1,1,1,2,7, ,1, ,1,1,1,1,1,1,1,1,1
6,2,3,2,  C,1,4,1,1,2,1,1,1,1, , ,1,1,1,2,5,2,1,1,1,1,1,2
6,2,3, ,  C,1,3,1,1,2,1,1,1,1,4,3,1,1,1,2,7,1,1,1,1,1,1,2
6,1,3,2,  C,2,1,1,1,2,1,1,1,1,2,6,1,1,1,2,7,1,1,1,1,1,1,1
5,1,3,2,  C,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
5,1,3,2,  C,1,2,1,1,2,1,1,1,1,3,5, , , ,2,3,1,1,1,1,1,1,2
6,2,3,1,  C E,2,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2
7,2,4,2,  C,1,6, , , , , ,4,1,3, , ,1, , , ,1,4,1,1,2,1,1
