Q1,Q2,Q3,Q4,Q5,Q32,Q34,Q35,Q36,Q44,Q48,Q49,Q51,Q52,Q53,Q67,Q89
5,2,2,2,C,#NULL!,2,1,1,1,1,1,1,1,1,1,2
3,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,2
4,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,1
4,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,1
4,1,1,2,C,1,2,1,1,1,2,1,1,1,1,1,2
4,1,1,2,C,1,2,1,#NULL!,1,1,1,1,1,1,1,2
3,1,1,2,E,1,1,#NULL!,#NULL!,1,1,1,1,1,1,1,1
4,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,2
4,2,1,2,A,1,2,1,1,1,1,1,1,1,1,1,2
4,2,1,1,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
4,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,1
4,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,#NULL!
5,2,1,2,C,1,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
4,2,1,2,C,1,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3
4,2,1,2,C,1,2,1,1,6,3,1,1,1,1,1,1
4,1,1,2,C,1,2,1,1,1,2,1,1,1,1,1,3
4,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,#NULL!
5,2,1,2,C,1,2,1,1,1,5,1,1,1,1,1,3
3,2,1,2,C,1,2,1,1,1,1,1,1,1,1,1,1
6,2,4,2,C,1,2,1,1,1,1,1,1,1,1,1,3
7,2,4,2,C,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,6,6,6,6,4,3
7,2,3,2,C,#NULL!,1,#NULL!,#NULL!,#NULL!,3,4,2,3,5,1,2
7,2,4,2,C,#NULL!,2,1,1,1,1,1,1,1,1,1,3
7,1,4,2,C,1,2,1,1,1,1,1,1,1,1,1,1
7,2,4,2,C,3,2,1,1,1,1,1,1,1,1,1,2
